alpha f_obj ILD Precision Recall F1_mesure MAP rmsde algo r2
0.2 personalized 0.5478 0.0852 0.0818 0.0835 0.195 0.0738 DNN 0.150776
0.3 personalized 0.5518 0.0853 0.0815 0.0834 0.1944 0.068 DNN 0.189239
0.4 personalized 0.5571 0.0849 0.0815 0.0832 0.195 0.0601 DNN 0.251208
0.5 personalized 0.5636 0.0849 0.0815 0.0832 0.1944 0.0506 DNN 0.352089
0.6 personalized 0.5711 0.0847 0.0816 0.0831 0.194 0.0386 DNN 0.508910
0.7 personalized 0.5784 0.0835 0.0805 0.082 0.193 0.0255 DNN 0.720006
0.8 personalized 0.5836 0.0819 0.0789 0.0804 0.1907 0.0147 DNN 0.893793
0.9 personalized 0.5872 0.079 0.0763 0.0776 0.1885 0.0077 DNN 0.967226
1 personalized 0.5901 0.0532 0.0449 0.0487 0.1631 0.0022 DNN 0.996885

0 classic 0.5417 0.0857 0.0821 0.0839 0.1956 0.083 DNN 0.102971
0.1 classic 0.547 0.0856 0.0823 0.0839 0.1956 0.0799 DNN 0.106617
0.2 classic 0.5538 0.0852 0.0819 0.0835 0.1951 0.0763 DNN 0.108000
0.3 classic 0.5622 0.0853 0.0816 0.0834 0.1941 0.0726 DNN 0.113486
0.4 classic 0.574 0.0849 0.0814 0.0831 0.1942 0.0684 DNN 0.117185
0.5 classic 0.5902 0.0846 0.0812 0.0829 0.1939 0.0661 DNN 0.121652
0.6 classic 0.6143 0.0843 0.0809 0.0826 0.1927 0.0694 DNN 0.121797
0.7 classic 0.652 0.0825 0.0783 0.0803 0.1899 0.0881 DNN 0.112512
0.8 classic 0.7069 0.079 0.0742 0.0765 0.1853 0.1301 DNN 0.098626
0.9 classic 0.7696 0.0712 0.064 0.0674 0.1775 0.1864 DNN 0.073286
1 classic 0.8159 0.0517 0.0411 0.0458 0.1646 0.2307 DNN 0.042634
